"id";"word";"phrase";"gloss"
"a#01462994";" circumlaticius ";"";""
"a#01467790";" clemens continens mediocris medius moderatus modicus remissus ";"";""
"a#01472209";" modernus ";"";""
"a#01475714";" gracilis modestus pudens verecundus ";"";""
"a#01476902";" gracilis modestus pudens verecundus ";"";""
"a#01488913";" multus numerosus ";"";""
"a#01495166";" capitalis letalis mortalis ";"";""
"a#01495419";" immortalis ";"";""
"a#01513557";" genuinus innatus nativus naturalis ";"";""
"a#01514380";" cascus ";"";""
"a#01515628";" genuinus innatus nativus naturalis ";"";""
"a#01518608";" genuinus innatus nativus naturalis ";"";""
"a#01521837";" genuinus innatus nativus naturalis ";"";""
"a#01523975";" necessarius necesse ";"";""
"a#01524704";" supervacaneus supervacuus ";"";""
"a#01525937";" purus ";"";""
"a#01529876";" horribilis horrifer horrificus ";"";""
"a#01533415";" plebeius ";"";""
"a#01533567";" proletarius ";"";""
"a#01536230";" demissus humilis sordidus ";"";""
"a#01538156";" genuinus innatus nativus naturalis ";"";""
"a#01546264";" arcticus Arctous borealis boreus septentrionalis septentrionarius ";"";""
"a#01547119";" australis austrinalis austrinus ";"";""
"a#01552221";" certus deliberatus destinatus obnixus ";"";""
"a#01552949";" captiosus damnosus inimicus inutilis laevus maleficus nocivus noxiosus noxius ";"";""
"a#01553587";" innocens innocuus innoxius insons ";"";""
"a#01554065";" oboediens ";"";""
"a#01555193";" inoboedus ";"";""
"a#01560095";" manifestus ";"";""
"a#01560359";" apertus clarus dilucidus enucleatus evidens insignis manifestus perspicuus purus ";"";""
"a#01562372";" impeditus ";"";""
"a#01577790";" consultus doctus eruditus litteratus philologus ";"";""
"a#01577936";" nativus ";"";""
"a#01579356";" annosus antiquus canus senectus veteranus vetus ";"";""
"a#01581807";" inauditus novicius novus ";"";""
"a#01584395";" annosus antiquus canus senectus veteranus vetus ";"";""
"a#01592934";" clausus conclusus ";"";""
"a#01595356";" clausus conclusus ";"";""
"a#01600297";" coloratus ";"";""
"a#01602210";" opportunus tempestivus ";"";""
"a#01602469";" maturus mitis tempestivus ";"";""
"a#01604250";" adversus contrarius diversus ";"";""
"a#01604398";" alternatus alternus amoebaeus ";"";""
"a#01607281";" indispositus inordinatus ";"";""
"a#01613712";" adsiduus chydaeus communis cottidianus mediocris medius ordinarius translaticius usitatus usualis vulgatus ";"";""
"a#01615102";" amphemerinos cottidianus ";"";""
"a#01616002";" admirandus egregius eximius incredibilis mirabilis mirus novus ";"";""
"a#01620071";" genuinus innatus nativus naturalis ";"";""
"a#01626576";" archetypus nativus originalis primigenius princeps ";"";""
"a#01628572";" calcatus contritus detritus protritus ";"";""
"a#01629295";" annosus antiquus canus senectus veteranus vetus ";"";""
"a#01629554";" orthodoxus ";"";""
"a#01633843";" arcuatus tectus ";"";""
"a#01638263";" apertus intectus ";"";""
"a#01642540";" apertus intectus laxus patens propatulus ";"";""
"a#01648301";" cruciabilis gravis ";"";""
"a#01658999";" excusabilis ";"";""
"a#01659853";" particularis ";"";""
"a#01660176";" aequabilis communis ";"";""
"a#01661285";" pervius ";"";""
"a#01661964";" impervius inexplicabilis invius ";"";""
"a#01662378";" ardens caloratus cupidus flagrans ";"";""
"a#01662898";" ardens calidus fervens fervidus flagrans flammeus flammidus flammifer flammiger incensus ";"";""
"a#01664341";" anteactus praeteritus ";"";""
